Game Date,Game Time,Visitor,Home,Arena,City,Notes
11/22/2024,7:00p,Brooklyn Nets,Philadelphia 76ers,Wells Fargo Center,Philidelphia,In-Season Tournament
11/22/2024,7:00p,Boston Celtics,Washington Wizards,Capital One Arena,Washington DC,In-Season Tournament
11/24/2024,3:30p,Minnesota Timberwolves,Boston Celtics,TD Garden,Boston,
11/24/2024,6:00p,Los Angeles Clippers,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
11/25/2024,7:30p,Los Angeles Clippers,Boston Celtics,TD Garden,Boston,
11/26/2024,7:00p,Chicago Bulls,Washington Wizards,Capital One Arena,Washington DC,In-Season Tournament
11/27/2024,7:00p,Houston Rockets,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
11/27/2024,7:00p,Los Angeles Clippers,Washington Wizards,Capital One Arena,Washington DC,
11/29/2024,7:30p,Orlando Magic,Brooklyn Nets,Barclays Center,New York,In-Season Tournament
12/1/2024,3:30p,Orlando Magic,Brooklyn Nets,Barclays Center,New York,
12/1/2024,6:00p,New Orleans Pelicans,New York Knicks,Madison Square Garden (IV),New York,
12/2/2024,7:30p,Miami Heat,Boston Celtics,TD Garden,Boston,
12/3/2024,7:30p,Orlando Magic,New York Knicks,Madison Square Garden (IV),New York,In-Season Tournament
12/4/2024,7:30p,Detroit Pistons,Boston Celtics,TD Garden,Boston,
12/4/2024,7:30p,Indiana Pacers,Brooklyn Nets,Barclays Center,New York,
12/4/2024,7:30p,Orlando Magic,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
12/5/2024,7:00p,Dallas Mavericks,Washington Wizards,Capital One Arena,Washington DC,
12/5/2024,7:30p,Charlotte Hornets,New York Knicks,Madison Square Garden (IV),New York,
12/6/2024,7:00p,Orlando Magic,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
12/6/2024,7:30p,Milwaukee Bucks,Boston Celtics,TD Garden,Boston,
12/7/2024,7:00p,Denver Nuggets,Washington Wizards,Capital One Arena,Washington DC,
12/7/2024,7:30p,Detroit Pistons,New York Knicks,Madison Square Garden (IV),New York,
12/7/2024,8:00p,Memphis Grizzlies,Boston Celtics,TD Garden,Boston,
12/8/2024,3:30p,Milwaukee Bucks,Brooklyn Nets,Barclays Center,New York,
12/8/2024,7:00p,Memphis Grizzlies,Washington Wizards,Capital One Arena,Washington DC,
12/19/2024,7:00p,Charlotte Hornets,Washington Wizards,Capital One Arena,Washington DC,
12/19/2024,7:30p,Chicago Bulls,Boston Celtics,TD Garden,Boston,
